car,track,frame,mode,draw,present,road,faces,upscale,player,opponents,total
5,1,3,0,107416,31455,13651,61,20238,35721,28705,138871
5,1,3,1,108344,31459,13712,61,20735,35909,28731,139803
5,1,4,0,142292,31498,12652,62,20237,39368,60896,173790
5,1,4,1,142082,31473,12657,62,20228,39349,60950,173555
5,1,5,0,145422,31486,19568,244,20249,39063,57669,176908
5,1,5,1,143980,31482,19597,244,20221,37660,57395,175462
5,1,6,0,120421,31491,19152,123,20238,27790,44145,151912
5,1,6,1,120165,31490,19114,123,20238,27709,44200,151655
5,1,7,0,129842,31450,14510,61,20445,35860,28677,161292
5,1,7,1,107369,31448,13415,61,20233,35746,28773,138817
5,1,8,0,143386,32048,13704,62,20227,39326,60914,175434
5,1,8,1,142172,31496,12587,62,20236,39346,60910,173668
5,1,9,0,142624,31465,18498,196,20232,37607,57327,174089
5,1,9,1,142755,31458,18513,196,20229,37602,57362,174213
5,1,10,0,120631,31472,19304,123,20263,27736,44191,152103
5,1,10,1,120833,32020,19076,123,20254,28339,44290,152853
5,1,11,0,108426,31435,14597,93,20245,35756,28746,139861
5,1,11,1,109983,31468,14581,93,20271,35933,29922,141451
5,1,12,0,149667,31487,14665,110,20262,41816,63826,181154
5,1,12,1,149833,31473,14668,110,20246,42024,63918,181306
5,2,1,0,143023,31452,15715,83,20244,38073,60313,174475
5,2,1,1,139427,31463,12240,83,20227,38103,60228,170890
5,2,2,0,158531,31476,26668,330,20265,39566,63288,190007
5,2,2,1,156091,31476,23778,330,20292,39546,63852,187567
5,2,3,0,112203,31462,19083,129,20227,35306,28859,143665
5,2,3,1,109685,31460,15049,129,20247,35548,29945,141145
5,2,4,0,153274,31483,14356,139,20240,41560,68548,184757
5,2,4,1,150493,31453,11592,139,20237,41548,68550,181946
5,2,5,0,133624,31463,14923,64,20225,34715,55051,165087
5,2,5,1,159382,31448,18342,64,20212,34737,55719,190830
5,2,6,0,143317,31487,31030,541,20259,31329,52016,174804
5,2,6,1,141384,31703,29203,541,20237,31308,52087,173087
5,2,7,0,109060,31488,20786,217,20241,30730,28369,140548
5,2,7,1,105537,31453,17695,217,20237,30762,27955,136990
5,2,8,0,129375,31454,14035,89,20232,33936,52484,160829
5,2,8,1,124710,31475,10813,89,20213,32841,52227,156185
5,2,9,0,118688,31477,16012,108,20477,28136,45428,150165
5,2,9,1,115079,31438,12699,108,20235,28030,45395,146517
5,2,10,0,129425,31470,16387,108,20242,32017,52033,160895
5,2,10,1,154036,31445,19889,108,20226,32001,51554,185481
5,2,11,0,126883,31454,34838,540,20268,34381,28619,158337
5,2,11,1,125672,31434,33523,540,20262,34349,28604,157106
5,2,12,0,137974,31491,17663,127,20218,35318,56005,169465
5,2,12,1,133732,31476,13855,127,20225,35013,56007,165208
6,0,1,0,127950,31510,12797,68,20458,38822,47161,159460
6,0,1,1,127663,31467,12778,68,20231,38669,47206,159130
6,0,2,0,129309,31998,15791,118,20234,38302,46061,161307
6,0,2,1,158029,31489,22912,118,20227,38325,46040,189518
6,0,3,0,104905,31471,14241,95,20234,37748,23750,136376
6,0,3,1,105135,31443,14260,95,20231,37804,23784,136578
6,0,4,0,132136,31465,12687,46,20225,41584,48703,163601
6,0,4,1,131674,31468,12678,46,20230,41315,48588,163142
6,0,5,0,141909,31467,25214,312,20278,39082,48427,173376
6,0,5,1,140778,31470,25254,312,20229,38909,47465,172248
6,0,6,0,131884,31477,15826,138,20222,39013,47886,163361
